REGISTRATION,aircraft_type,ON BLOCK,OFF BLOCK,parking_stand,FROM,TO,ARR,DEP,operator_airline,category,aircraft_size,airline_tier,stand_zone,IS_SYNTHETIC,TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND
VP-CLL,EMB 135,17:28,18:02,B4,WAHS,RW07,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BKT,A 320,11:51,12:46,B8,WIPP,WAHS,ID 7054,ID 7557,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-203,,,,,,,,,,,,,,True,B738,GARUDA,COMMERCIAL,B1
PK-LUP,A 320,8:03,9:12,A3,WIPP,WADD,ID 7056,ID 7309,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-359,,,,,,,,,,,,,,True,C404,TRAVIRA,CHARTER,B12
PK-LUW,A 320,17:21,18:01,B6,WARR,WARR,ID 7512,ID 7519,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YST,B 733,12:14,15:58,B12,WAGG,WAOO,IL 7141,IL 725,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
T7-S16,G 500,11:03,12:23,B4,RE02,WSSL,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-348,,,,,,,,,,,,,,True,B737,SUSI AIR,COMMERCIAL,A2
SYNTH-514,,,,,,,,,,,,,,True,CRV,AIRNESIA,CARGO,B2
PK-LUQ,A 320,10:05,14:29,B8,WIPP,WAHS,ID 7054,ID 7559,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-424,,,,,,,,,,,,,,True,A320,BATIK AIR,COMMERCIAL,A1
PK-YST,B 733,11:23,14:11,B13,WIDN,WIKK,IL 7181,IL 715,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-293,,,,,,,,,,,,,,True,MD11,JAYAWIJAYA,CARGO,B11
SYNTH-412,,,,,,,,,,,,,,True,MD11,BBN,CARGO,B9
PK-GJV,ATR 72,21:30,,A3,WIPO,,QG 1999,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-105,,,,,,,,,,,,,,True,B733,AFM,CHARTER,B4
SYNTH-488,,,,,,,,,,,,,,True,B733,CITILINK CARGO,CARGO,B6
SYNTH-456,,,,,,,,,,,,,,True,CRV,JAYAWIJAYA,CARGO,B7
PK-MGZ,B 733,20:11,21:47,B4,WIII,WIMM,GM 002,GM 171,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GMW,B 738,11:52,12:42,B2,WIMM,WARR,GA 0181,GA 0330,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-FJA,ATR 72,13:48,14:18,B2,WAHH,WAHH,KS 105,KS 106,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-488,,,,,,,,,,,,,,True,A320,FLY JAYA,COMMERCIAL,A2
SYNTH-58,,,,,,,,,,,,,,True,ATR42,GARUDA,COMMERCIAL,B2
SYNTH-106,,,,,,,,,,,,,,True,DC10,CITILINK CARGO,CARGO,B13
PK-LUP,A 320,9:51,10:39,A1,WIPP,WAHS,ID 7054,ID 7557,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-8,,,,,,,,,,,,,,True,ATR42,BATIK AIR,COMMERCIAL,A3
SYNTH-395,,,,,,,,,,,,,,True,B733,BBN,CARGO,B9
PK-TFS,EMB 135,18:42,18:57,B5,WAWW,HGR,,,IAT,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GLS,A 320,20:26,,B2,WARR,,QG 0173,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-FJA,ATR 72,7:47,8:24,B2,SA12,WIGG,,KS 311,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GMX,B 738,16:31,17:26,B3,WARR,WIEE,GA 0331,GA 0166,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GFH,B 738,11:52,12:43,B2,WIMM,WARR,GA 0181,GA 0330,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-274,,,,,,,,,,,,,,True,B350,AFM,CHARTER,B7
T7-TUN,HK 850,16:03,18:53,B5,NSA14,WAHI,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GJT,ATR 72,13:10,13:42,A3,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-88,,,,,,,,,,,,,,True,CL850,PTN,CHARTER,B3
PK-LAF,A 320,11:48,12:45,A2,WAHQ,WAHI,ID 7040,ID 7539,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-KAS,CL 850,7:30,8:08,B7,B5,B4,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-511,,,,,,,,,,,,,,True,MD11,B.B.N AIRLINES,CARGO,B3
SYNTH-505,,,,,,,,,,,,,,True,ATR42,FLY JAYA,COMMERCIAL,A2
PK-GJV,ATR 72,20:43,,B1,WIPO,,QG 1999,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-569,,,,,,,,,,,,,,True,A321,SUSI AIR,COMMERCIAL,B1
SYNTH-400,,,,,,,,,,,,,,True,ATR42,CITILINK,COMMERCIAL,A3
PK-MGZ,B 733,4:55,6:02,B9,WSSS,WALL,GM 019,GM 061,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-361,,,,,,,,,,,,,,True,A321,SUSI AIR,COMMERCIAL,A2
PK-LUZ,A 320,15:35,16:31,A2,WIPP,WARR,ID 7052,ID 7503,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKQ,A 320,12:13,13:40,A1,WARR,WIMM,ID 7516,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-479,,,,,,,,,,,,,,True,DC10,BBN,CARGO,B6
SYNTH-299,,,,,,,,,,,,,,True,B350,TAS,CHARTER,B2
SYNTH-40,,,,,,,,,,,,,,True,MD11,CITILINK CARGO,CARGO,B13
PK-VVM,C 208,7:03,7:43,A2,WICN,WICN,SI 235,SI 234,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAO,A 320,21:54,22:53,B4,WADD,SA12,ID 7310,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-PAH,ATR 72,14:15,,A1,WIDM,,IP 7301,,PELITA,COMMERCIAL,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUK,A 320,6:35,7:55,B7,SA14,B5,,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
N-61WX,G VI,12:02,12:34,B6,WSSL,WSSL,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-263,,,,,,,,,,,,,,True,B738,SUSI AIR,COMMERCIAL,A1
PK-GMY,B 738,12:21,13:06,B2,WIMM,WARR,GA 0181,GA 0330,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GNE,B 738,19:18,20:31,B5,WALS,WIII,GA 6350,GA 6361,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-FJA,ATR 72,12:22,13:03,B2,WAHH,WAHH,KS 103,KS 104,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-NMI,B 733,14:30,15:45,B13,WAAA,WAGG,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-BKP,A 320,6:18,9:32,B5,WARR,WADD,ID 7508,ID 7309,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-390,,,,,,,,,,,,,,True,DC10,TRI MG,CARGO,B9
PK-GFF,B 738,12:00,12:59,B2,WIMM,WARR,GA 0181,GA 0330,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-DJV,HK 900,16:38,17:48,B7,WSSL,HGR,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GQI,A 320,9:22,10:50,B4,WARR,WIPP,QG 0175,QG 0088,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAM,A 320,14:10,16:14,B7,WARR,WIPP,ID 7516,ID 7051,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-178,,,,,,,,,,,,,,True,CL850,PTN,CHARTER,B5
SYNTH-223,,,,,,,,,,,,,,True,MD11,TRI MG,CARGO,B12
PK-LUK,A 320,11:35,13:21,B7,WAHI,WIPP,ID 7540,ID 7051,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-409,,,,,,,,,,,,,,True,A320,BATIK AIR,COMMERCIAL,A1
PK-VVF,C 208,10:08,11:53,A3,WICN,WICN,SI 205,SI 204,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKJ,A 320,17:36,18:39,B6,WAHS,WIBB,ID 7558,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LZH,A 320,13:30,14:28,B2,WARR,WIEE,ID 7520,ID 7109,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-102,,,,,,,,,,,,,,True,B350,PTN,CHARTER,B4
SYNTH-325,,,,,,,,,,,,,,True,CRV,BBN,CARGO,B11
PK-BKP,A 320,13:32,14:24,B2,WARR,WARR,ID 7520,ID 7501,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-217,,,,,,,,,,,,,,True,B742,CITILINK CARGO,CARGO,B12
PK-YST,B 733,17:05,21:00,B11,WAGG,WIMM,IL 714,IL 701,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-114,,,,,,,,,,,,,,True,DC10,TRI MG,CARGO,B13
SYNTH-73,,,,,,,,,,,,,,True,ATR42,BATIK AIR,COMMERCIAL,A3
SYNTH-334,,,,,,,,,,,,,,True,A321,CITILINK,COMMERCIAL,B2
SYNTH-138,,,,,,,,,,,,,,True,MD11,JAYAWIJAYA,CARGO,B13
T7-ARN,G VI,20:29,21:00,B4,WAGI,HGR,DWC 009,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUI,A 320,17:34,18:51,B6,WAHS,WIBB,ID 7558,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GQM,A 320,10:13,10:57,A3,WARR,WIPP,QG 0171,QG 0088,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LZH,A 320,16:10,19:02,B10,WARR,WIPP,ID 7514,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUK,A 320,10:10,11:10,A2,WARA,WARA,ID 7580,ID 7583,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
N-61WX,G VI,14:46,15:19,B3,A1,WSSL,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GLE,A 320,17:30,18:05,B2,WADD,WADD,QG 0195,QG 0194,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-229,,,,,,,,,,,,,,True,CL850,JETSET,CHARTER,B6
SYNTH-549,,,,,,,,,,,,,,True,B738,BATIK AIR,COMMERCIAL,B7
SYNTH-446,,,,,,,,,,,,,,True,DC10,BBN,CARGO,B8
SYNTH-95,,,,,,,,,,,,,,True,A321,BATIK AIR,COMMERCIAL,A3
T7-S16,G 500,20:13,21:08,B6,WIII,HGR,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAJ,A 320,12:31,13:23,A1,WARR,WIMM,ID 7516,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YST,B 733,7:04,9:02,B10,WALL,WAOO,IL 728,IL 725,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUJ,A 320,16:08,16:54,A3,WIPP,WARR,ID 7052,ID 7503,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUU,A 320,17:25,17:57,B1,WARR,WARR,ID 7512,ID 7519,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-RSS,EMB 135,22:02,,B4,RW06,,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GFJ,B 738,12:15,13:10,B2,WIMM,WARR,GA 0181,GA 0330,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-PAH,ATR 72,21:33,,A1,RE03,,,,PELITA,COMMERCIAL,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-RJS,AW 139,10:33,10:36,B6,KALIAGE,HGR,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GJT,ATR 72,12:57,13:34,A2,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
N-977JH,CT 680,13:13,15:49,B3,WAOC,WAOC,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-152,,,,,,,,,,,,,,True,B733,BBN,CARGO,B12
PK-LUW,A 320,16:18,17:20,B8,WARR,WARR,ID 7514,ID 7503,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-BKF,A 320,6:35,9:43,A2,WARR,WAHS,ID 7508,ID 7557,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YSH,B 733,11:29,14:58,B12,WIDN,WAGG,IL 7181,IL 713,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-BKV,A 320,18:37,20:04,A3,WIEE,WARR,ID 7108,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
P-8001,HK 400,7:15,7:48,B5,WIHP,WAHS,,,POLICE,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-VVH,C 208,7:22,8:05,A0,WICN,WICC,SI 235,SI 230,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-372,,,,,,,,,,,,,,True,B742,TRIGANA,CARGO,B10
SYNTH-64,,,,,,,,,,,,,,True,MD11,AIRNESIA,CARGO,B13
SYNTH-533,,,,,,,,,,,,,,True,ATR72,BATIK AIR,COMMERCIAL,B7
PK-MGZ,B 733,5:10,6:08,B11,WSSS,WALL,GM 019,GM 061,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LAO,A 320,20:42,21:28,B1,WIEE,WIPP,ID 7108,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-161,,,,,,,,,,,,,,True,CL604,JIP,CHARTER,B4
PK-LUY,A 320,8:58,9:47,A3,WARR,WADD,ID 7510,ID 7309,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-171,,,,,,,,,,,,,,True,MD11,AIRNESIA,CARGO,B12
SYNTH-648,,,,,,,,,,,,,,True,B737,CITILINK,COMMERCIAL,B5
PK-YSH,B 733,18:04,21:28,B12,WIDN,WAAA,IL 718,IL 723,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-287,,,,,,,,,,,,,,True,B733,JIP,CHARTER,B2
SYNTH-64,,,,,,,,,,,,,,True,ATR72,SUSI AIR,COMMERCIAL,A0
SYNTH-382,,,,,,,,,,,,,,True,A320,FLY JAYA,COMMERCIAL,A3
PK-BLA,A 320,16:02,20:00,B8,WARR,WIPP,ID 7514,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GMW,B 738,17:31,18:14,B2,WARR,WARR,GA 0331,GA 3304,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BLB,A 320,13:12,13:59,A3,WAHS,WIMM,ID 7556,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GNG,B 738,19:18,,B2,WIEE,,GA 0163,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-75,,,,,,,,,,,,,,True,G IV,PTN,CHARTER,B3
PK-GLU,A 320,20:59,,A2,WARR,,QG 0173,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUK,A 320,20:42,,A3,WARR,,ID 7502,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-251,,,,,,,,,,,,,,True,MD11,AIRNESIA,CARGO,B12
SYNTH-10,,,,,,,,,,,,,,True,CRV,TRI MG,CARGO,B13
SYNTH-176,,,,,,,,,,,,,,True,G IV,PTN,CHARTER,B5
SYNTH-124,,,,,,,,,,,,,,True,A321,PELITA,COMMERCIAL,A1
PK-GLU,A 320,17:00,17:49,B1,WADD,WADD,QG 0195,QG 0194,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BBJ,B 734,19:30,21:28,B10,WAAA,WAAA,0B 5024,0B 5021,B. B. N.,CHARTER,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-168,,,,,,,,,,,,,,True,B733,KARISMA,CHARTER,B4
PK-LUV,A 320,18:44,20:12,B1,WIMM,WIPP,ID 7010,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YST,B 733,15:51,17:24,B10,WAOO,WAOO,IL 726,IL 725,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GGC,B 735,20:22,,B12,WAGG,,QG 7453,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-398,,,,,,,,,,,,,,True,B737,FLY JAYA,COMMERCIAL,A3
10028,GV,11:43,13:07,B5,SA01,VTPH,,SPAR 28,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAL,A 320,9:01,9:45,B7,WARR,WARR,ID 7510,ID 7517,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUF,A 320,7:57,8:52,A3,WIPP,WAHS,ID 7056,ID 7559,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUT,A 320,14:22,15:18,B7,WADD,WAHS,ID 7308,ID 7559,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-606,,,,,,,,,,,,,,True,B738,GARUDA,COMMERCIAL,B4
PK-LAM,A 320,6:12,8:31,A1,SA17,WAHI,-,ID 7533,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-664,,,,,,,,,,,,,,True,A321,PELITA,COMMERCIAL,B6
VP-CGO,GLEX,12:53,13:59,B10,WICC,RE02,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-YST,B 733,14:27,16:10,B11,WIOO,WAGG,IL 742,IL 7131,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LAJ,A 320,20:35,,B8,WADD,,ID 7310,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-TMI,G IV,4:18,6:22,B7,HGR,WSSL,,,TRAVIRA,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUH,A 320,6:20,7:12,B1,WARR,WIPP,ID 7508,ID 7053,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUV,A 320,13:37,14:27,B7,WADD,WIEE,ID 7308,ID 7109,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-49,,,,,,,,,,,,,,True,G IV,PTN,CHARTER,B3
SYNTH-52,,,,,,,,,,,,,,True,DC10,AIRNESIA,CARGO,B13
SYNTH-682,,,,,,,,,,,,,,True,A321,SUSI AIR,COMMERCIAL,B8
PK-LUU,A 320,20:02,22:26,B7,WARR,A3,ID 7502,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-115,,,,,,,,,,,,,,True,G IV,AFM,CHARTER,B4
PK-BKQ,A 320,22:20,,A3,WADD,,ID 7310,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAO,A 320,10:16,,B10,A3,,-,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-MBA,B 733,8:48,12:50,B12,WIMM,SA02,GM 172,,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
M-JGVJ,GLEX,10:26,11:48,B5,SA15,WSSL,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-129,,,,,,,,,,,,,,True,ATR72,FLY JAYA,COMMERCIAL,B1
T7-7HS,G VII,8:55,12:59,B4,WSSL,WIPP,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-FJA,ATR 72,11:20,12:05,A3,WAHH,WAHH,KS 103,KS 104,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-326,,,,,,,,,,,,,,True,CL604,BIOMANTARA,CHARTER,B9
PK-LAI,A 320,10:14,11:01,B1,WIPP,WAHS,ID 7054,ID 7557,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
VP-CLL,EMB 135,4:52,7:10,B4,SA13,WIPB,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUV,A 320,10:30,11:09,A3,WIPP,WAHQ,ID 7054,ID 7531,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-413,,,,,,,,,,,,,,True,ATR42,FLY JAYA,COMMERCIAL,A3
PK-VVH,C 208,10:08,10:55,A1,WICN,WICN,SI 205,SI 204,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-117,,,,,,,,,,,,,,True,CRV,BBN,CARGO,B13
PK-LUK,A 320,7:59,8:46,A2,WIBB,WARR,ID 7066,ID 7513,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUG,A 320,19:40,,A2,WAHI,,ID 7530,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUK,A 320,15:48,16:34,A2,WAHI,WIPP,ID 7538,ID 7059,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUP,A 320,13:49,14:30,A2,WAHS,WARR,ID 7556,ID 7501,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GRD,BBJ 2,23:41,,B8,BASE OPS,,,,PTN,CHARTER,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
PK-KAS,CL 850,3:53,5:20,B6,RW04,WARR,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAJ,A 320,19:44,20:26,A2,WIEE,WARR,ID 7108,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUP,A 320,10:20,11:10,B1,WIPP,WAHS,ID 7054,ID 7557,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GFD,B 738,23:21,,B2,WADD,,GA 0463,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-JCO,PH 300,6:48,9:31,B6,NSA15,WIOO,,,PURAWISATA,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-162,,,,,,,,,,,,,,True,C404,PREMI,CHARTER,B4
